query,predicted_label
Is it possible to make changes to my Ryanair flight reservation?,Flight Changes
Is it possible to modify my flight booking after I've made the reservation?,Flight Changes
Is it possible to modify my flight reservation?,Flight Changes
Is it possible to purchase duty-free items during my Ryanair flight?,Duty-Free Shopping
Is it possible to purchase duty-free items on Ryanair flights? What products are available and how can I make a purchase?,Duty-Free Shopping
Is it possible to purchase duty-free products on a Ryanair flight?,Duty-Free Shopping
Is it possible to reserve a seat with extra legroom?,Seat Selection
Is it possible to select a seat during the booking process? Are there any additional charges?,Seat Selection
"Is it possible to select a seat with extra legroom when booking a Ryanair flight, and what are the costs?",Seat Selection
"Is it possible to select a specific seat with Ryanair, and are there any fees associated with choosing a preferred seat?",Seat Selection
Is it possible to select an aisle seat when booking my flight?,Seat Selection
Is it possible to select my preferred seat during the booking process?,Seat Selection
Is it possible to select my preferred seat while booking a Ryanair flight online?,Seat Selection
Is it possible to select my seat during booking?,Seat Selection
Is it possible to select my seat in advance when booking a flight with Ryanair?,Seat Selection
"Is it possible to select my seat in advance when booking my flight with Ryanair, or do I have to wait until check-in to choose my seat?",Seat Selection
Is it possible to select my seat when booking a flight with Ryanair? Are there any extra charges for this service?,Seat Selection
Is it possible to select my seat when booking a flight with Ryanair? Are there any extra charges for this service? How can I ensure I get the seat I want?,Seat Selection
Is it possible to select my seat when booking a Ryanair flight? What are the costs involved?,Seat Selection
Is it possible to select my seat when booking?,Seat Selection
Is it possible to select my seat when I book my flight online with Ryanair?,Seat Selection
Is it possible to select my seat when I book my flight?,Seat Selection
Is it possible to select seats together when traveling with family?,Seat Selection
Is it possible to select seats when booking a flight?,Seat Selection
Is it possible to shop duty-free on Ryanair flights?,Duty-Free Shopping
Is it possible to switch to a window seat after booking?,Seat Selection
Is it possible to use a travel voucher for a new booking?,Travel Vouchers
Is it possible to use a travel voucher to book a new Ryanair flight?,Travel Vouchers
Is my flight affected by the weather?,Weather-related Disruptions
Is my flight delayed by weather?,Weather-related Disruptions
Is my flight FR9876 still on schedule for departure?,Flight Status
Is my flight from Amsterdam to Madrid affected by the storm?,Weather-related Disruptions
Is my flight from London to Barcelona on time?,Flight Status
Is my flight from London to Madrid on schedule?,Flight Status
Is my flight from London to Rome on time?,Flight Status
Is my flight from Munich to Zurich on schedule?,Flight Status
Is my flight from Oslo to Helsinki delayed?,Flight Status
Is my flight from Paris to Dublin delayed due to the weather?,Weather-related Disruptions
Is my flight from Prague to Budapest on schedule?,Flight Status
Is my flight from Rome to Berlin on time?,Flight Status
Is my flight from Stockholm to Copenhagen on schedule?,Flight Status
Is my flight from Warsaw to Budapest delayed?,Flight Status
Is my flight on schedule?,Flight Status
Is my flight on time or delayed?,Flight Status
Is my flight on time? How do I check the current status?,Flight Status
Is my flight to Amsterdam on time or delayed?,Flight Status
Is my flight to Berlin on time or delayed?,Flight Status
Is my flight to Milan delayed due to bad weather?,Weather-related Disruptions
Is online check-in mandatory for all passengers?,Check-in Procedures
Is Ryanair in partnership with any other airlines?,Partnerships and Alliances
Is Ryanair in partnership with other airlines?,Partnerships and Alliances
"Is Ryanair part of any airline alliances or partnerships that offer additional benefits to passengers? Can I earn or redeem points with partner airlines, and are there any special perks for alliance members?",Partnerships and Alliances
Is Ryanair part of any airline alliances or partnerships? How does it benefit travelers?,Partnerships and Alliances
Is Ryanair partnered with any other airlines for connections?,Partnerships and Alliances
Is Ryanair partnered with any other airlines for flights?,Partnerships and Alliances
Is special assistance available at the airport?,Special Assistance
Is special assistance available for elderly passengers on Ryanair flights? What services are provided?,Special Assistance
Is the flight from Brussels to Prague on schedule?,Flight Status
Is the flight from Dublin to Rome on time today?,Flight Status
Is the flight from Hamburg to Vienna delayed?,Flight Status
Is the flight from Paris to Rome on time?,Flight Status
Is the flight from Rome to Paris on time today or has it been delayed due to weather conditions?,Weather-related Disruptions
Is the flight from Vienna to Prague on schedule?,Flight Status
Is the flight from Zurich to Prague on schedule?,Flight Status
Is the flight from Zurich to Vienna delayed?,Flight Status
Is the flight to Athens on time?,Flight Status
Is there a charge for special assistance services?,Special Assistance
Is there a dedicated check-in counter for business travelers?,Business Travel
Is there a discount for booking a large group on Ryanair?,Group Bookings
Is there a discount for booking flights for a group?,Group Bookings
Is there a discount for booking flights for a large group?,Group Bookings
Is there a discount for booking multiple tickets together?,Promotions and Discounts
Is there a discount for group bookings of 10 or more?,Group Bookings
Is there a discount for group bookings of more than 15 people?,Group Bookings
Is there a discount for group bookings on Ryanair?,Group Bookings
Is there a discount for group bookings with Ryanair and how do I make one?,Group Bookings
